id,titulo,importe,idTipo
1,La cenicienta,4320.00,1
2,El gato con botas,869.00,2
3,Blancanieves,4440.00,1
4,El patito feo,3960.00,1
5,La sirenita,825.00,2
6,La bella durmiente,836.00,2
7,Ricitos de oro y los tres osos,4080.00,1
8,Los tres cerditos,3840.00,1
9,Caperucita roja,4200.00,1
10,Pulgarcito,803.00,2
11,El Principito,880.00,2
12,Viaje al centro de la Tierra,858.00,2
13,Don Quijote de la Mancha,847.00,2
14,El Hobbit,3720.00,1
15,Robinson Crusoe,814.00,2
16,Las aventuras de Huckleberry Finn,781.00,2
17,Romeo y Julieta,4560.00,1
18,Cien años de soledad,4800.00,1
19,Moby Dick,792.00,2
20,Los miserables,4680.00,1
